,tsne1,tsne2,Class
0,-38.33382797241211,10.485852241516113,disease
1,-31.81852149963379,-17.263320922851562,disease
2,-63.08198165893555,-47.8458366394043,disease
3,-27.743330001831055,-75.11991882324219,disease
4,-38.00312423706055,26.664037704467773,disease
5,28.988988876342773,-58.668182373046875,disease
6,-77.76314544677734,-7.324596405029297,disease
7,95.23820495605469,64.01077270507812,disease
8,68.94723510742188,30.017419815063477,disease
9,19.954875946044922,59.715614318847656,disease
10,18.236204147338867,-95.58021545410156,disease
11,-78.06316375732422,-43.782981872558594,disease
12,-48.88508987426758,-41.889305114746094,disease
13,-48.06607437133789,46.431297302246094,disease
14,-46.37636184692383,-25.928003311157227,disease
15,-13.093387603759766,-75.42135620117188,disease
16,-83.04049682617188,-21.76528549194336,disease
17,-18.623414993286133,-45.411590576171875,disease
18,-12.222493171691895,47.11555480957031,disease
19,-63.56609344482422,-14.566572189331055,disease
20,-30.739707946777344,69.51295471191406,disease
21,-93.68782806396484,-47.664615631103516,disease
22,-84.25047302246094,-66.3718032836914,disease
23,50.96012878417969,41.496360778808594,disease
24,80.04572296142578,-44.83599090576172,disease
25,-32.459617614746094,-35.97061538696289,disease
26,-15.056081771850586,-60.075809478759766,disease
27,-16.848176956176758,4.101190090179443,disease
28,-54.24650573730469,-70.70686340332031,disease
29,-1.592119812965393,-43.98704528808594,disease
30,28.036312103271484,23.59926986694336,disease
31,-0.4247276484966278,62.88565444946289,disease
32,-32.97810745239258,48.59276580810547,disease
33,25.545520782470703,79.46562957763672,disease
34,57.598365783691406,19.946165084838867,disease
35,86.3124771118164,40.524322509765625,disease
36,68.72232818603516,-38.24481201171875,disease
37,67.43584442138672,60.157405853271484,disease
38,65.53353118896484,75.47380828857422,disease
39,97.16252899169922,51.25140380859375,disease
40,34.36050796508789,94.5425033569336,disease
41,16.513883590698242,-19.446001052856445,control
42,7.954885959625244,-9.002364158630371,control
43,34.4952507019043,-4.366779327392578,control
44,37.551029205322266,-87.07943725585938,control
45,-22.057222366333008,-22.713638305664062,control
46,43.750038146972656,73.75547790527344,control
47,51.70503234863281,60.68605422973633,control
48,104.71687316894531,30.096179962158203,control
49,79.91913604736328,53.149200439453125,control
50,79.68963623046875,66.9370346069336,control
51,-35.895851135253906,-55.050228118896484,control
52,19.783143997192383,-2.8345894813537598,control
53,1.9276978969573975,-60.04586410522461,control
54,43.08001708984375,-64.25039672851562,control
55,-8.476448059082031,-30.3980655670166,control
56,12.629526138305664,8.207266807556152,control
57,13.850189208984375,-47.814823150634766,control
58,-19.114368438720703,-91.5643539428711,control
59,-9.719016075134277,-12.819878578186035,control
60,-5.1788530349731445,77.10371398925781,control
61,-52.2730598449707,8.191755294799805,control
62,7.371145725250244,-34.993682861328125,control
63,76.24948120117188,9.683069229125977,control
64,13.128676414489746,73.48516082763672,control
65,7.252660751342773,-84.54048156738281,control
66,-63.324180603027344,-28.517946243286133,control
67,22.81342315673828,-35.371070861816406,control
68,16.290809631347656,-76.7103500366211,control
69,-7.414977550506592,26.88791275024414,control
70,-24.065340042114258,15.062545776367188,control
71,-24.420019149780273,27.845685958862305,control
72,2.2522990703582764,-21.01317596435547,control
73,35.74055099487305,-24.501564025878906,control
74,-3.1364188194274902,10.633752822875977,control
75,-28.17694664001465,-2.0486502647399902,control
76,-46.92923355102539,-9.719841957092285,control
77,-3.25858998298645,-1.6406790018081665,control
78,-16.85394287109375,59.9681396484375,control
79,5.4658989906311035,36.56409454345703,control
80,35.42789840698242,62.26909255981445,control
81,69.8983383178711,45.0493049621582,control
