,pc1,pc2,pc3,pc4,pc5,Class
0,27494.666256812743,-4268.93194587395,-63519.06381820758,-6886.197079549348,11551.319600420084,disease
1,-57539.16570277656,4757.688254445403,-67092.89870157847,-8052.204482194314,39217.97601161738,disease
2,-85672.79139933712,104415.05337476931,-26104.27093893147,-16393.59613509509,7713.931464328824,disease
3,-53732.40516463552,22974.106035203204,-9967.306192403006,126153.35560034709,-36157.559444601895,disease
4,48946.57597815341,10084.126039652137,-55629.12064086197,-65545.82750941071,-22248.58362814052,disease
5,-60939.01254712282,66761.91682631125,-33938.9417209497,-40452.811597931606,43508.83706652939,disease
6,33735.716804385134,112565.20959256744,-26338.58343592637,-18871.544753268507,-13373.635400342064,disease
7,-20220.826434550007,-14604.008867124041,56183.17433861075,-87467.58914039384,10544.063223051173,disease
8,-21137.276182101035,-99100.54507035611,141038.15196423442,34567.19597914979,72501.50807621457,disease
9,182004.95315224194,34307.35301375196,62527.33285926058,-69294.02008730917,36740.213137346866,disease
10,-131649.7524053739,22250.750707388743,-25773.958396000384,-6958.920473676925,-27010.63546562331,disease
11,-65047.805961722384,180129.41688873444,-3238.592041874892,-47170.01703361551,-479.1155330867909,disease
12,-42597.65126385313,64948.33121772884,-5287.083064170857,46905.56714718995,-2961.026601971416,disease
13,86364.69330916244,-72102.51353724688,-42826.38723071248,8385.585774874355,-73158.48448205508,disease
14,-72772.20213346231,50787.88946025638,-16012.031941733829,37946.23725932588,97892.48163811861,disease
15,-71976.20185804306,3852.6579415899655,2217.2847006843517,103028.02569503983,4307.602002716307,disease
16,-53044.7606959152,81604.34011780996,-16091.17489842655,-33036.646777325535,-25632.437029172615,disease
17,-93996.88476639245,-64423.665807795835,-12774.216141652134,51084.76799167693,82640.652507125,disease
18,103927.86796756956,16474.676236718802,-49935.76803941187,58360.701575232386,13265.919749106002,disease
19,9451.537864346548,114114.10246252318,-29985.873682156962,22147.470275034953,59882.14337856076,disease
20,188794.87680003632,138904.6230436951,-61594.88204313557,24236.26126802399,-18402.956234842433,disease
21,-153210.13909340597,145436.44382964785,100347.98884276932,-69266.93554690099,-24831.178931770697,disease
22,-70998.79075914838,272968.79434308544,145172.85650437966,88135.66613382213,-45991.900780640186,disease
23,82276.02299038446,-131000.30350914475,132257.41890893094,51184.37102150312,29014.413935449906,disease
24,124636.9566080074,367172.44279286015,21808.02826162365,72233.70234120148,-32412.057500608204,disease
25,-19604.402372635497,19975.67416161161,-33503.478209101246,-28581.449060834824,-5665.713228541278,disease
26,-108041.60865040577,-80146.99323008845,-424.3180215257483,74785.0850210735,-1709.5214411836841,disease
27,12788.03401815799,5042.074666448407,-64375.23136810272,-15148.396392872546,12872.455129724189,disease
28,-44188.70493947768,17662.45691736767,-39443.44397534934,-48347.492104444245,165010.41010657395,disease
29,-51486.37680838469,18509.411015964764,-40347.19573277524,10434.182703509045,-29318.574853096492,disease
30,37896.880300211145,36977.03290479292,9293.924997557317,107849.27321585194,-17258.644138474185,disease
31,161326.45634046316,-43877.27850326763,-30829.680907274473,-7354.660415791845,41380.29066198542,disease
32,134404.40868768116,611.4906106485039,-77571.75376005317,-20654.05057710395,-78387.95451596387,disease
33,153488.41192370272,-91425.68031319969,52390.111917422044,4660.538117113482,-7006.44290844344,disease
34,-55603.943631632195,-61190.72555522278,101827.526829202,44734.61457872209,-45248.521796242785,disease
35,17974.49008596342,-6417.254542446614,164572.23075793704,-52906.37957810768,-33701.625284067384,disease
36,70077.5529367831,268805.66545577184,76129.73856786087,43941.8517752161,65010.77662949033,disease
37,19393.609583764046,-47634.72833050019,97600.41196540318,-15015.993973503415,32769.90055641021,disease
38,78658.90815607726,-19113.804855298058,86017.31510551345,-74130.2659238924,27745.487878766067,disease
39,-47810.41236574374,-13794.744094967833,121890.12942971007,-97476.33901596496,3694.4914958755353,disease
40,201739.75405030965,-44161.418949432016,110078.13450018557,25206.62637082236,-113496.00749282785,disease
41,-60341.91410602647,-60565.2889388989,-72856.81974226257,-36719.38629258275,-14253.177919025737,control
42,-43427.187774546845,-71210.92675259542,-70128.21524738519,-26810.9403790168,-6633.48112280948,control
43,-149.85258486733636,-34393.67628971091,-41729.98497679038,-9357.336106396198,-56020.76485152839,control
44,-85320.15039050527,-29100.281307596662,-66099.09015877976,-86068.44309252247,-47227.75887041696,control
45,-44830.27287876847,10638.436932875673,-50496.63998620007,-2756.3320843240344,35720.73961095518,control
46,101605.10709064158,-56281.91687831314,101302.9263951302,-21136.637803048707,-62141.945827098585,control
47,50597.81107040696,-36951.17910938489,122176.77044072447,-9930.459249519698,-40731.585770284015,control
48,-174717.2923430365,-46950.962352081224,212521.5004357709,-46505.17641437134,-67536.6582721757,control
49,-5864.165344922558,7591.2638962013925,114531.33977796686,-20466.409038576094,18511.429539929275,control
