Method,Accuracy
Plasma(Raw),0.9090909090909092
pca2_plasma(Exploratory),0.8181818181818181
pca3_plasma(Exploratory),0.8181818181818181
pca4_plasma(Exploratory),0.8181818181818181
pca5_plasma(Exploratory),0.8181818181818181
