Number of Metabolites,Accuracy
1,0.7348484848484848
2,0.6515151515151515
3,0.7803030303030303
4,0.5984848484848485
5,0.7727272727272726
6,0.7727272727272726
7,0.9090909090909094
8,0.9090909090909094
9,0.8636363636363635
10,0.7348484848484848
11,0.9090909090909094
12,0.8636363636363635
13,0.8636363636363635
14,0.8636363636363635
15,0.8636363636363635
16,0.8636363636363635
