Number of Metabolites,Accuracy
1,0.6347008547008546
2,0.638231351981352
3,0.6796503496503496
4,0.7315646853146852
5,0.6403146853146853
6,0.6705545843045843
7,0.6916656954156953
8,0.6798601398601398
9,0.6704584304584305
10,0.7087111499611499
11,0.7441278166278166
12,0.6996406371406371
13,0.7540646853146854
14,0.7204632867132869
15,0.7210470085470086
16,0.6748397435897436
