Number of Metabolites,Accuracy
1,0.6252991452991452
2,0.6232060994560994
3,0.6826806526806526
4,0.6498572261072262
5,0.6044560994560993
6,0.6040394327894327
7,0.6322212509712509
8,0.6641656954156954
9,0.786829836829837
10,0.6515977078477079
11,0.7715520590520591
12,0.7457993395493396
13,0.7381983294483294
14,0.7860722610722611
15,0.7312490287490288
16,0.7368045843045843
