Number of Metabolites,Accuracy
1,0.6287082362082361
2,0.5616627816627815
3,0.6103651903651903
4,0.5801884226884226
5,0.6899106449106449
6,0.7177039627039628
7,0.7965268065268066
8,0.7833906371406373
9,0.8047639860139861
10,0.791029526029526
11,0.8327214452214452
12,0.8041229603729605
13,0.820158313908314
14,0.7881555944055945
15,0.8170648795648795
16,0.7915695415695417
