,tsne1,tsne2,tsne3,Class
0,434.5384826660156,44.38146209716797,7.467076301574707,disease
1,170.84996032714844,-17.90478515625,129.72796630859375,disease
2,-205.7943572998047,262.6982421875,-50.775779724121094,disease
3,17.074054718017578,176.48330688476562,111.18474578857422,disease
4,-124.39015197753906,80.0684585571289,59.74736022949219,disease
5,156.72605895996094,-124.34737396240234,-167.3223419189453,disease
6,-132.98619079589844,43.31916809082031,160.37539672851562,disease
7,-207.53509521484375,-14.685370445251465,46.467769622802734,disease
8,26.841123580932617,-92.77207946777344,200.79986572265625,disease
9,65.32406616210938,236.7489471435547,-1.3175766468048096,disease
10,-54.27830505371094,146.7880401611328,21.2440128326416,disease
11,-381.6930847167969,178.20831298828125,-119.12571716308594,disease
12,162.82481384277344,32.349246978759766,-204.2786102294922,disease
13,-65.8011245727539,81.41556549072266,-156.73374938964844,disease
14,35.75090026855469,87.42036437988281,197.199462890625,disease
15,-147.65658569335938,-96.55259704589844,-189.3495330810547,disease
16,-110.82330322265625,-14.898152351379395,-147.16696166992188,disease
17,16.176820755004883,-186.2101593017578,107.08419799804688,disease
18,699.5316772460938,-600.8894653320312,428.9909973144531,disease
19,205.83790588378906,-153.86094665527344,-77.03561401367188,disease
20,139.22628784179688,34.932777404785156,-46.367958068847656,disease
21,167.7345428466797,-63.12373352050781,4.819860935211182,disease
22,58.27873992919922,-107.44322967529297,-169.76626586914062,disease
23,-65.97416687011719,-210.84988403320312,-76.29608154296875,disease
24,91.64034271240234,-47.87900924682617,-82.62841796875,disease
25,-66.97576904296875,-85.55101013183594,2.7087578773498535,disease
26,-55.06496047973633,121.00357055664062,144.65814208984375,disease
27,-264.40673828125,264.3019714355469,-222.62693786621094,disease
28,121.04086303710938,17.657085418701172,199.9783477783203,disease
29,-52.0912971496582,-8.198626518249512,98.91756439208984,disease
30,144.63430786132812,119.23495483398438,-121.72434997558594,disease
31,105.03414154052734,-96.55074310302734,121.21194458007812,disease
32,203.9267578125,41.35137176513672,-82.9733657836914,disease
33,81.47552490234375,-109.23998260498047,-4.000001907348633,disease
34,86.56373596191406,198.6691436767578,-114.855224609375,disease
35,89.47539520263672,-173.03768920898438,-93.25069427490234,disease
36,185.7796173095703,-67.66606903076172,-90.66604614257812,disease
37,-135.9976348876953,186.3477325439453,-5.794413089752197,disease
38,112.12505340576172,-176.1855926513672,53.114906311035156,disease
39,317.85504150390625,7.3376946449279785,-148.1940460205078,disease
40,-38.65365219116211,252.05191040039062,77.78008270263672,disease
41,22.62645721435547,-204.2976837158203,-5.812989711761475,control
42,-40.41415023803711,58.20833969116211,-31.857749938964844,control
43,-6.511282444000244,-11.942268371582031,-131.73538208007812,control
44,-92.38666534423828,9.643592834472656,10.171365737915039,control
45,-26.851377487182617,-44.00876235961914,-222.26336669921875,control
46,-58.60435485839844,-146.6593475341797,-148.8092498779297,control
47,-246.3551483154297,-37.46076202392578,-33.77842330932617,control
48,258.9215087890625,3.6090762615203857,9.122374534606934,control
49,-206.9134521484375,120.72625732421875,62.50980758666992,control
50,7.115728855133057,-115.3311538696289,-77.27237701416016,control
51,-71.73719787597656,-172.0609130859375,22.73493003845215,control
52,6.943164825439453,-10.236433029174805,-1.9264636039733887,control
53,-144.57318115234375,-57.864356994628906,166.56448364257812,control
54,206.46090698242188,-156.33534240722656,14.921645164489746,control
55,-126.33332061767578,-56.930999755859375,73.49673461914062,control
56,182.98167419433594,122.76077270507812,-6.458444595336914,control
57,90.95157623291016,-9.045482635498047,50.756629943847656,control
58,-7.775277137756348,173.86553955078125,-147.48556518554688,control
59,-15.110176086425781,64.7957763671875,53.262603759765625,control
60,24.4288272857666,84.2448959350586,-176.7321319580078,control
61,36.976810455322266,83.04405975341797,-83.9281234741211,control
62,92.20731353759766,137.3751678466797,4.86210823059082,control
63,-35.3066520690918,-9.161474227905273,218.141357421875,control
64,243.24639892578125,-80.43470001220703,82.2315902709961,control
65,140.52951049804688,70.6701431274414,86.13211059570312,control
66,-142.22457885742188,-107.43872833251953,-74.57691955566406,control
67,20.68889617919922,-69.45048522949219,52.084434509277344,control
68,-159.5279541015625,92.7436752319336,-78.88207244873047,control
69,-107.66829681396484,-162.0050506591797,116.11095428466797,control
70,-119.5568618774414,159.9025115966797,-113.65711975097656,control
71,-57.46867752075195,-34.62865447998047,-61.8406867980957,control
72,46.28984069824219,68.2414779663086,-4.257345676422119,control
73,34.86196517944336,13.515735626220703,124.7754135131836,control
74,-35.713260650634766,-98.31997680664062,110.74024200439453,control
75,40.317359924316406,-278.1576843261719,75.39868927001953,control
76,-170.3188934326172,376.31219482421875,-116.6434555053711,control
77,52.861839294433594,94.87110137939453,80.79694366455078,control
78,6.61303186416626,158.84547424316406,-49.68022155761719,control
79,86.99588012695312,23.49419403076172,-144.6812286376953,control
80,-189.5187530517578,-124.28694915771484,20.68210792541504,control
81,-165.3733367919922,2.0922305583953857,-47.515174865722656,control
